Date,x_01,x_02,x_03,y_01
4/29/2010,-0.818664532,-0.0621438,-0.252833415,-0.322945478
4/30/2010,-0.833600252,-0.435813913,-0.469155327,-0.255544066
5/3/2010,-0.942692511,-0.060888224,0.006067498,-0.258580625
5/4/2010,-1.704100161,0.003109856,0.006728671,-0.260826537
5/5/2010,-2.073936664,0.065548754,0.248668328,-0.26473873
5/6/2010,-2.376034915,-0.261991531,-0.284250449,-0.261702171
5/7/2010,-0.76869678,-0.277716608,-0.474072765,-0.255377797
5/10/2010,0.848048456,-0.619732919,-1.259950048,-0.205769488
5/11/2010,1.785130601,-0.631837514,-1.32782966,-0.206880158
5/12/2010,1.282464391,-0.565474702,-1.159938355,-0.209497569
5/13/2010,0.27966904,-0.38475376,-0.781029287,-0.217337087
5/14/2010,0.424008609,-0.526080211,-1.082183031,-0.236326293
5/17/2010,0.603323206,-0.374634972,-0.834674774,-0.236912841
5/18/2010,-0.406198778,-0.246068045,-0.75206859,-0.255212213
5/19/2010,-0.783265855,-0.207326585,-0.555387494,-0.260416716
5/20/2010,-0.138594562,-0.19025196,-0.616437494,-0.266144196
5/21/2010,-0.056754351,-0.398049259,-0.951095063,-0.270176017
5/24/2010,-1.181927923,-0.164352706,-0.464722787,-0.272844528
5/25/2010,0.08147795,-0.246072604,-0.732576412,-0.272844528
5/26/2010,-0.467884873,-0.489970865,-1.010260918,-0.278928527
5/27/2010,-0.644301324,-0.307572369,-0.512210093,-0.278519595
5/28/2010,-1.157246803,-0.534410972,-0.627370606,-0.421270072
6/1/2010,-1.111864001,-0.347983304,-0.651264667,-0.286136367
6/2/2010,-0.656694233,-0.437550638,-0.682547725,-0.28379598
6/3/2010,-1.127325041,-0.208411571,-0.065904252,-0.277350643
6/4/2010,-0.706139103,-0.398052285,-0.616894456,-0.281142706
6/7/2010,-0.997873938,-0.224112528,-0.371454411,-0.281142706
6/8/2010,-1.69182409,-0.534106419,-1.49950978,-0.228369417
6/9/2010,-1.808840008,-0.793260646,-2.061373537,-0.228369417
6/10/2010,-1.576520109,-0.416972115,-1.385460729,-0.229135403
6/11/2010,-1.360029212,-0.636309487,-1.655070729,-0.231657388
6/14/2010,-1.128720818,-0.676691289,-1.691015064,-0.23029837
6/15/2010,-0.991481437,-0.58392954,-1.455753387,-0.23029837
6/16/2010,-0.750379254,-0.4294657,-1.137287791,-0.231657388
6/17/2010,-1.244737578,-0.570785548,-1.382225031,-0.23312936
6/18/2010,-0.99668089,-0.572803814,-1.299543162,-0.23029837
6/21/2010,-1.662170703,-0.477249923,-0.973310946,-0.23029837
6/22/2010,-1.537029849,-0.425915824,-1.00407357,-0.23312936
6/23/2010,-1.730814945,-0.571267338,-1.280110788,-0.23312936
6/24/2010,-1.412105912,-0.390046904,-0.917693309,-0.23312936
6/25/2010,-1.232992707,-0.272451999,-0.613024545,-0.228260976
6/28/2010,-1.675287753,-0.255187969,-0.742086864,-0.213314073
6/29/2010,-1.329934725,-0.359167619,-0.930575333,0.132215395
6/30/2010,-1.175699084,-0.531059678,-1.051871075,-0.178705441
7/1/2010,-1.099690008,-0.250882994,-0.5846776,-0.178705441
7/2/2010,-0.8557459,-0.183588825,-0.406723766,-0.183537062
7/6/2010,-1.065389683,-0.281166167,-0.945676017,-0.183537062
7/7/2010,-3.428178975,-0.481117388,-0.928856561,-0.236360838
7/8/2010,-3.435831169,-0.530828119,-0.983661775,-0.232814377
7/9/2010,-3.461844713,-0.380291549,-0.809997314,-0.218289192
7/12/2010,-3.08419081,-0.50172852,-1.120118461,-0.216513461
7/13/2010,-3.196724884,-0.335330508,-0.730981375,-0.216513461
7/14/2010,-3.292962647,-0.30318384,-0.62973581,-0.203496948
7/15/2010,-3.167701184,-0.172837953,-0.707448407,-0.205402946
7/16/2010,-3.018675754,-0.28402074,-0.977635398,-0.205402946
7/19/2010,-2.833685896,-0.15202153,-0.644701516,-0.205402946
7/20/2010,-2.398493009,-0.106599935,-0.478375208,-0.205402946
7/21/2010,-2.446627264,-0.283502145,-0.737488642,-0.208483405
7/22/2010,-2.492769198,-0.330522702,-0.71664592,-0.20657706
7/23/2010,-2.496505329,-0.189028207,-0.567917757,-0.20657706
7/26/2010,-2.430340958,-0.278152037,-0.625633593,-0.208183416
7/27/2010,-2.602917932,-0.176631746,-0.512658262,-0.20442463
7/28/2010,-2.469276725,-0.163954565,-0.496447651,-0.208345149
7/29/2010,-2.519743052,-0.132904089,-0.391398016,0.075776272
7/30/2010,-2.382635613,-0.255856947,-0.800305431,-0.205858765
8/2/2010,-2.143212157,-0.079018475,-0.3112109,-0.205858765
8/3/2010,-2.291563321,-0.140681806,-0.697630213,-0.203898763
8/4/2010,-0.292159517,-0.275982379,-0.519038195,-0.2018023
8/5/2010,-0.533507671,-0.134656461,-0.160820474,-0.199338085
8/6/2010,-0.672672727,-0.170085505,-0.331330926,-0.199338085
8/9/2010,-0.68431989,-0.126414636,-0.194782825,-0.197013234
8/10/2010,-1.432352039,-0.112536753,-0.079635949,-0.197013234
8/11/2010,-1.528810339,-0.315390359,-0.557154476,-0.195425191
8/12/2010,-1.166457887,-0.212697465,-0.146441938,-0.179402998
8/13/2010,-0.614523589,-0.209985506,-0.254393778,-0.18099104
8/16/2010,-1.002707716,-0.347364577,-0.528266071,-0.188211081
8/17/2010,-0.912002821,-0.439724503,-0.615409239,-0.177603336
8/18/2010,-0.887734154,-0.098700722,0.000958964,-0.171641233
8/19/2010,-1.000646439,-0.406875642,-0.62720157,-0.194641635
8/20/2010,-0.636215009,-0.241044297,-0.397555913,-0.189735065
8/23/2010,-0.970826028,-0.173421363,-0.234647687,-0.178050061
8/24/2010,-1.269141654,-0.145783988,-0.281315277,-0.178050061
8/25/2010,-1.080473385,-0.170539402,-0.170478406,-0.175257415
8/26/2010,-1.197536392,-0.414379887,-0.742305029,-0.175257415
8/27/2010,-1.01503392,-0.176592573,-0.146924518,-0.173480933
8/30/2010,-1.128274637,-0.074454785,-0.000497663,0.097145017
8/31/2010,-1.000383034,-0.338167164,-0.642623048,-0.174732754
9/1/2010,-2.535513396,-0.02189655,0.46077454,-0.19923558
9/2/2010,-2.525871367,-0.223314777,0.136904688,-0.19923558
9/3/2010,-2.432711918,0.012930354,0.727985645,-0.199811468
9/7/2010,-2.272120218,-0.083494471,0.341171313,-0.199811468
9/8/2010,-2.2119638,-0.257069348,0.110160997,-0.199811468
9/9/2010,-1.901662411,-0.122811942,0.274661268,-0.20288093
9/10/2010,-1.769548814,0.052679814,0.617789023,-0.197502683
9/13/2010,-1.911200377,-0.057139035,0.375581128,-0.202030119
9/14/2010,-1.948123706,-0.228859718,0.059411349,-0.204426809
9/15/2010,-1.824688906,-0.121112603,0.151624621,-0.204426809
9/16/2010,-1.969157117,-0.222627143,0.101060675,-0.210956575
9/17/2010,-1.843282481,-0.087325537,0.364834436,-0.223320825
9/20/2010,-1.732973511,0.037439066,0.581057983,-0.230816072
9/21/2010,-1.985629242,-0.270492425,-0.52909643,-0.230816072
9/22/2010,-2.057126577,-0.271230494,0.331435266,-0.218009307
9/23/2010,-1.742405712,-0.269738185,0.262244608,-0.218451822
9/24/2010,-1.352005694,0.01181777,0.514598297,-0.20926477
9/27/2010,-1.583836469,-0.110771023,0.354289429,-0.225582359
9/28/2010,-1.569778081,-0.376267139,-0.076176636,-0.227801738
9/29/2010,-1.302405984,-0.152246292,0.157722359,-0.196329776
9/30/2010,-2.291304208,-0.406099977,-0.419946832,-0.283821998
10/1/2010,-2.251711593,-0.301803684,-0.304589438,-0.29070533
10/4/2010,-2.091172461,-0.387290007,-0.371817215,-0.290159824
10/5/2010,-1.860133959,-0.295875331,-0.161903775,-0.318585405
10/6/2010,-2.193755738,-0.170731449,-0.132900641,-0.316662594
10/7/2010,-2.28361871,-0.294597613,-0.31881588,-0.312389559
10/8/2010,-2.285318178,-0.311501912,-0.321083159,-0.329197677
10/11/2010,-2.116361547,-0.2428019,-0.299773574,-0.311051686
10/12/2010,-1.966667725,-0.209244471,-0.112923695,-0.311051686
10/13/2010,-2.395705701,-0.413044363,-0.402372125,-0.3242282
10/14/2010,-2.387332549,-0.50412727,-0.649373631,-0.319601017
10/15/2010,-2.158520428,-0.147725377,-0.075267133,-0.296552778
10/18/2010,-2.108573191,-0.162930674,-0.141450436,-0.284280649
10/19/2010,-2.193201482,-0.195125414,-0.189875539,-0.282326718
10/20/2010,-1.789290102,-0.405832372,-0.465986091,-0.269330908
10/21/2010,-1.887900148,-0.395406323,-0.448444064,-0.275035659
10/22/2010,-1.609715525,-0.452348217,-0.621274818,-0.258970926
10/25/2010,-1.404278028,-0.438310671,-0.58670025,-0.251074931
10/26/2010,-1.661297032,-0.459024145,-0.576843511,-0.286585431
10/27/2010,-1.420413834,-0.332216297,-0.433213192,-0.284529059
10/28/2010,0.384102734,0.047160859,0.328443904,-0.198158662
10/29/2010,0.307925389,-0.051241097,0.270281187,-0.184358629
11/1/2010,0.400543702,0.016226899,0.476360061,-0.186455303
11/2/2010,0.265100975,-0.012749685,0.489043373,-0.186455303
11/3/2010,0.698196088,0.232122211,0.719234895,-0.189494357
11/4/2010,0.29987111,-0.18259115,0.059182515,-0.183056019
11/5/2010,0.303024607,-0.078510868,0.250207384,-0.185330018
11/8/2010,0.192515787,-0.201311031,-0.044367678,-0.185330018
11/9/2010,-0.625946464,-0.055386557,0.185210172,-0.174530435
11/10/2010,0.024810153,-0.070144552,0.276048134,-0.172176062
11/11/2010,-0.617340354,-0.423547969,-0.245776894,-0.166044221
11/12/2010,-0.691754712,-0.494115545,-0.411374991,-0.149248439
11/15/2010,-1.254999845,-0.371319399,-0.011966704,-0.146390361
11/16/2010,-0.388553315,-0.370503658,-0.166191161,-0.148560662
11/17/2010,-0.020165713,-0.426025173,-0.325017547,-0.148560662
11/18/2010,-0.363924618,-0.353891192,-0.257565305,-0.159803896
11/19/2010,-0.380953777,-0.319774936,-0.208613472,-0.157472343
11/22/2010,-0.906201477,-0.423179225,-0.166585964,-0.15928166
11/23/2010,-0.818241674,-0.767877956,-0.886343288,-0.149092526
11/24/2010,-0.402095657,-0.525047684,-0.473246825,-0.131744603
11/26/2010,-1.067876913,0.542789366,1.08843862,-0.149659669
11/29/2010,-1.157939944,0.162612812,0.648656695,-0.323272234
11/30/2010,-0.474124738,-0.213308211,-0.006360309,-0.153410902
12/1/2010,-0.530362439,0.230347083,0.6893545,-0.149308577
12/2/2010,-0.675106123,0.371407978,0.741176707,-0.132456034
12/3/2010,-0.567070538,0.58730621,1.006471219,-0.13697238
12/6/2010,-0.56667725,-0.211763073,-0.220423112,-0.13697238
12/7/2010,-1.057395537,0.129429803,0.308205128,-0.133190263
12/8/2010,-1.011726305,0.271382198,0.573053463,-0.120279677
12/9/2010,-1.054132523,0.097058461,0.087693614,-0.123742232
12/10/2010,-0.8489994,0.098103886,0.192786778,-0.123682663
12/13/2010,-0.8188702,-0.332460357,-0.31022121,-0.125381341
12/14/2010,-0.942663493,-0.371307784,-0.274679014,-0.121918786
12/15/2010,-0.57212453,0.072191337,0.047511192,-0.123682663
12/16/2010,-0.46936747,0.601635427,0.9733885,-0.123682663
12/17/2010,-0.530597781,-0.000368666,-0.021238423,-0.128154435
12/20/2010,-0.72413856,0.258199099,0.360982466,-0.128154435
12/21/2010,-0.189111852,-0.004314747,0.157587893,-0.128154435
12/22/2010,-0.268629555,-0.080670008,-0.074115655,-0.132993088
12/23/2010,-0.271969942,0.134009208,0.226304049,-0.13149444
12/27/2010,-2.408765656,-0.632938123,-0.867365103,-0.113703442
12/28/2010,-2.16390851,0.153176704,0.132190261,-0.11234863
12/29/2010,-1.851868423,-0.269429134,-0.389469663,-0.119531619
12/30/2010,-1.734432801,0.128094829,0.188159884,-0.267327762
12/31/2010,-1.199741037,-0.274123884,-0.18897894,-0.133975337
1/3/2011,-1.3627212,-0.198547993,-0.157222142,-0.125767518
1/4/2011,-1.173968416,-0.500881445,-0.650295451,-0.119855008
1/5/2011,-0.897662427,-0.002844141,0.046617365,-0.119855008
1/6/2011,-0.914089329,0.175375312,0.461839077,-0.119855008
1/7/2011,-1.230341235,0.090168255,0.112451696,-0.124670313
1/10/2011,-1.046115403,-0.049060714,-0.116546423,-0.122809417
1/11/2011,-0.817111469,0.039886536,-0.197313153,-0.116896906
1/12/2011,-0.98272417,0.229139391,0.162714151,-0.117994112
1/13/2011,-1.198590252,0.07085081,-0.128203379,-0.11956128
1/14/2011,-1.074137655,-0.158229575,-0.357159938,-0.11956128
1/18/2011,-1.203335358,0.117064491,-0.022181521,-0.117994112
1/19/2011,-1.313977509,-0.274661884,-0.538441963,-0.117994112
1/20/2011,-1.027299099,0.047026675,-0.003419006,-0.117994112
1/21/2011,-0.89923219,0.011450138,-0.106825179,-0.115632021
1/24/2011,-1.061446348,0.099591145,0.052390583,-0.115632021
1/25/2011,-1.892182047,-0.040828123,0.07679837,-0.111745903
1/26/2011,-1.854340777,0.343227296,0.666129976,-0.114574863
1/27/2011,-1.754225644,0.165930883,0.530220848,-0.113032647
1/28/2011,-1.957996167,0.051129788,0.290870371,0.13313639
1/31/2011,-1.535977351,-0.007465073,0.282843529,-0.097442831
2/1/2011,-1.489058975,-0.117034535,0.216317202,-0.096082442
2/2/2011,-1.518376384,-0.189273952,0.025561124,-0.095076474
2/3/2011,-1.107983133,-0.346068296,0.008113698,-0.096082442
2/4/2011,-0.903733872,-0.206742356,0.238376219,-0.092615069
2/7/2011,-0.947872283,-0.521992956,-0.149353008,-0.091172938
2/8/2011,-1.167914046,-0.099593877,0.24189048,-0.087772958
2/9/2011,-1.194604742,-0.287381182,0.01315265,-0.088874981
2/10/2011,-1.062506714,0.182695059,0.636834472,-0.086733515
2/11/2011,-0.856118839,0.101496213,0.410378767,-0.088808062
2/14/2011,-0.881853611,-0.052104015,0.355183393,-0.088808062
