Date,lag_01,lag_02,lag_03,x_01,x_02,y_01,y_02,y_03,y_04,y_05,y_06,y_07
1/4/2010,-0.368864747,-0.263060574,0.145387194,-1.995995843,-0.230910467,0.56334749,-0.411335497,-0.79685591,0.153991401,-0.060333323,0.022903897,-1.230759418
1/5/2010,-0.650009039,-0.774716013,-1.385152888,-1.925932294,-0.445039519,0.127706372,-0.411335497,-0.960494144,-0.163435491,-0.060416653,-0.14928117,-2.438487012
1/6/2010,-0.693092467,-0.77441354,-0.496483674,-1.654937421,-0.446679401,0.130384263,-0.411335497,-0.910907487,-0.339830719,-0.062459405,-0.248274251,-1.638987345
1/7/2010,-0.572851692,-0.656848106,-0.670469507,-2.035854758,-0.492443607,0.178026386,-0.411335497,-0.750349057,-0.159278798,-0.065905061,-0.089547088,-1.052497135
1/8/2010,-0.626029355,-0.70654328,-1.122378431,-2.008355147,-0.445448194,0.169890406,-0.411335497,-0.574576135,-0.055610153,-0.052906229,-0.176169716,-1.840146672
1/11/2010,-0.596931846,-0.528788476,0.667076839,-2.1224108,-0.096237838,0.611306525,-0.411335497,-0.633028119,0.183330518,-0.059163024,0.082314175,0.636629739
1/12/2010,-0.843316298,-1.040854772,-1.337727293,-2.144253071,-0.418732637,0.050798768,-0.411335497,-0.583313858,-0.484163027,-0.067093018,-0.245845601,-1.114675969
1/13/2010,-0.598248513,-0.453165877,0.831963461,1.496834361,-0.56672914,-0.719690819,-0.42932568,-1.236779629,0.495628606,-0.060357718,-0.471814208,0.027454469
1/14/2010,-0.646478437,-0.502046627,-0.364620621,0.989939908,-0.474686497,-0.604031485,-0.42932568,-0.695672917,-0.20758719,-0.070246061,-0.349822649,-0.186978087
1/15/2010,-0.817679256,-0.819245968,-0.946771668,0.449769151,-0.645658995,-0.884381837,-0.42932568,-1.149810479,-0.526318605,-0.059919938,-0.575719161,-1.175374993
1/19/2010,-0.686474724,-0.530998589,0.136386781,0.486627833,-0.398486487,-0.710152465,-0.427247515,-1.179347599,-0.298312206,-0.061615039,-0.383223944,-0.360832447
1/20/2010,-0.599523611,-0.426918296,0.062834437,-0.095218123,-0.395393378,-0.704090209,-0.427247515,-1.055792882,0.255537206,-0.061397278,-0.254443388,-0.110860799
1/21/2010,-0.778599339,-0.776008004,-0.456769626,-0.889993225,-0.40175621,-0.771582424,-0.425161014,-0.924694982,-0.509719895,-0.066699402,-0.197276928,0.231502999
1/22/2010,-0.767449271,-0.774141309,-0.7426614,-0.886363358,-0.441475804,-0.908189662,-0.432032442,-0.932361277,-0.420415385,-0.060213691,-0.299379587,-0.46227841
1/25/2010,-0.560668837,-0.559300588,-0.53068065,-1.018268754,-0.380834509,-0.732435552,-0.43665394,-0.886826991,-0.354285064,-0.065571743,-0.313921209,-0.121204491
1/26/2010,-0.774045069,-0.639511277,0.279482736,-0.796163005,-0.392050778,-0.777347876,-0.434965075,-0.834202609,-0.787972046,-0.064556456,-0.345592985,0.281331969
1/27/2010,-0.615995186,-0.519489348,-0.376078688,-1.173922062,-0.431552381,-0.82724871,-0.437247601,-0.941116164,-0.359301042,-0.061295452,-0.106411229,0.503344252
1/28/2010,-0.523009912,-0.281625718,0.801179325,-1.030910367,-0.281873974,-0.572135951,0.055991058,-0.644169321,-0.131197929,-0.064168672,-0.10129119,0.36110325
1/29/2010,-0.978357417,-0.949844607,-0.540091098,-1.795601702,-0.490894613,-0.708881829,-0.414742924,-0.888569141,-0.268953635,-0.069626205,-0.449847961,-0.267348378
2/1/2010,-0.606780034,-0.434588002,0.479590646,-1.500909433,-0.413267972,-0.596476034,-0.416642013,-0.873653649,-0.122606145,-0.065058022,-0.244400866,0.353177208
2/2/2010,-0.747210264,-0.693675012,-0.360405546,-1.307158782,-0.560802628,-0.837550079,-0.414712674,-0.932495454,-0.334189734,-0.067148643,-0.454457269,-0.525726631
2/3/2010,-0.564703912,-0.361755212,0.30982925,-1.652514497,-0.330192828,-0.406162392,-0.40816489,-0.791759054,-0.3312071,-0.063029039,-0.057964388,1.533093006
